"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.490237149E0,9.460914135E-1,1.330956459E0,6.898891926E-2,1.634409230E0
3.509373920E0,2.160911560E0,-5.127559662E0,-4.557606876E-1,5.582931547E0
3.528497462E0,2.799835443E0,-1.102734184E1,-9.864491224E-2,1.137765694E1
3.547647670E0,1.701584816E0,-1.642842293E1,-3.343531191E-1,1.651969318E1
3.566784545E0,-3.788475394E-1,-1.954777908E1,-9.184011221E-1,1.957300828E1
3.585907983E0,-2.035737991E0,-1.805224228E1,-1.576664209E0,1.823495409E1
3.605058191E0,-3.368509054E0,-1.273452377E1,-9.768370390E-1,1.320867743E1
3.624195066E0,-3.071679831E0,-9.607631683E0,2.634595633E-1,1.009015433E1
3.643318504E0,-2.441797256E0,-7.808141708E0,1.007581711E0,8.242855797E0
3.662468712E0,-9.234912992E-1,-7.675826073E0,-1.671600938E-1,7.732986782E0
3.681605587E0,4.067056179E-1,-7.515853405E0,-1.893745899E0,7.761426119E0
3.700742358E0,1.174107075E0,-7.899471760E0,-2.916611671E0,8.502164733E0
3.719879233E0,1.088208199E0,-8.232634544E0,-2.906756401E0,8.798278320E0
3.739016108E0,3.832798004E-1,-9.402608871E0,-1.591309309E0,9.544015000E0
3.758152983E0,1.382696629E-2,-1.131917000E1,6.518125534E-2,1.131936611E1
3.777276420E0,-7.468252778E-1,-1.242133904E1,1.585043550E0,1.254431244E1
3.796426629E0,-1.797792673E0,-1.329528141E1,1.810394287E0,1.353787626E1
3.815563504E0,-2.431137800E0,-9.142865181E0,3.088600636E-1,9.465611933E0
3.834700379E0,-7.689331770E-1,5.099477768E-1,-1.015298843E0,1.371909876E0
3.853823816E0,1.478239298E0,1.822832489E1,5.459011555E0,1.908553973E1
3.872974024E0,1.419790745E0,6.671540833E1,6.376013279E0,6.703443189E1
3.892110899E0,-1.820726156E0,2.610188293E1,1.110589790E1,2.842471292E1
3.911234441E0,-4.746870995E-1,1.681513977E1,7.898058891E0,1.858369144E1
3.930384545E0,-2.149129391E0,2.540632629E1,4.606716156E0,2.590988241E1
3.949521420E0,-9.240660071E-1,1.745720482E1,1.343913436E0,1.753322564E1
3.968644962E0,1.267528057E0,8.771685600E0,-3.522773981E-1,8.869791148E0
3.987795170E0,1.779641628E0,2.438097000E0,-3.255225420E-1,3.036018154E0
4.006931941E0,2.064842463E0,-3.472742558E0,-2.186195850E-1,4.046147524E0
4.026055483E0,1.218585253E0,-8.573661804E0,-4.123876095E-1,8.669641878E0
4.045205691E0,-7.782536745E-1,-1.362088013E1,-1.491422892E0,1.372437235E1
4.064342566E0,-3.557314873E0,-1.783718681E1,-1.761572123E0,1.827355627E1
4.083479337E0,-4.516199589E0,-1.913021088E1,-2.470795631E0,1.981075107E1
4.102616212E0,-3.848369598E0,-1.507315731E1,-1.386102676E0,1.561830018E1
4.121753087E0,-3.225994587E0,-1.113456440E1,1.345098972E0,1.167025521E1
4.140876629E0,-2.173213482E0,-9.476681709E0,2.039032936E0,9.934183830E0
4.160026837E0,-7.012772560E-1,-8.255341530E0,8.120403290E-1,8.324774055E0
4.179163608E0,1.179726720E-1,-7.014160156E0,-7.469204068E-1,7.054803353E0
4.198300483E0,1.063432217E0,-6.392616272E0,-1.568093896E0,6.667484484E0
4.217437358E0,1.540201187E0,-6.719839096E0,-1.824413061E0,7.131405205E0
4.236574233E0,1.852839470E0,-7.935424805E0,-1.628610611E0,8.310015250E0
4.255711108E0,2.147669315E0,-1.001927185E1,-1.827704072E0,1.040859232E1
4.274834545E0,2.781102657E0,-1.262926388E1,-1.029789090E0,1.297279090E1
4.293984754E0,3.279983044E0,-1.475365448E1,1.170612574E0,1.515912079E1
4.313121629E0,2.058839798E0,-1.463776588E1,1.915016294E0,1.490537818E1
4.332258504E0,3.184972107E-1,-8.141598701E0,6.579291821E-1,8.174346500E0
4.351395379E0,-1.125884414E0,1.220267296E0,9.839365482E-1,1.929973864E0
4.370518920E0,1.310238838E0,3.154263306E1,6.394801140E0,3.221099048E1
4.389669024E0,-7.426726341E0,7.106594849E1,1.124090862E1,7.233175876E1
4.408805899E0,-7.265133381E0,2.209114265E1,7.432123184E0,2.441387314E1
4.427929441E0,-7.936975479E0,1.428305340E1,6.716783524E0,1.766681564E1
4.447079649E0,-8.562870026E0,2.541547012E1,6.472652435E0,2.758920249E1
4.466216524E0,-4.185808659E0,1.820850945E1,1.021143198E0,1.871132127E1
4.485340066E0,-1.604840517E0,9.773092270E0,1.046096087E0,9.959074386E0
4.504490170E0,4.511865973E-2,2.093260765E0,6.699398756E-1,2.198316574E0
4.523627045E0,1.417968273E0,-5.038459301E0,-6.745350361E-2,5.234620915E0
4.542750587E0,3.178168535E0,-1.105058193E1,-7.301640511E-2,1.149875853E1
4.561900795E0,3.980428457E0,-1.633159065E1,-7.967616320E-1,1.682853211E1
4.581037670E0,3.364133358E0,-1.948480606E1,-2.758177280E0,1.996453361E1
4.600161212E0,7.661571503E-1,-1.785532379E1,-3.199713469E0,1.815592880E1
4.619311316E0,-1.867092133E0,-1.376572990E1,-1.539669394E0,1.397683565E1
4.638448191E0,-2.200369596E0,-1.021378899E1,2.914798260E-1,1.045218027E1
4.657571733E0,-1.846291184E0,-7.825269699E0,8.995400667E-1,8.090291054E0
4.676721941E0,-8.430321217E-1,-7.147280216E0,-2.201492786E-1,7.200193286E0
4.695845483E0,9.631432295E-1,-6.715313911E0,-1.906618357E0,7.046863087E0
4.714995691E0,1.983071089E0,-6.853855133E0,-3.018048763E0,7.747032946E0
4.734132566E0,1.622819543E0,-7.929049015E0,-3.138170481E0,8.680522768E0
4.753269337E0,1.123474836E0,-9.782516479E0,-1.960240841E0,1.004003827E1
4.772406212E0,4.225279689E-1,-1.167400932E1,-9.078344107E-1,1.171687616E1
4.791529754E0,-5.352595448E-1,-1.303031063E1,-3.609877825E-1,1.304629488E1
4.810679962E0,-1.598304987E0,-1.345313168E1,1.233310699E-1,1.354830400E1
4.829816837E0,-1.572263718E0,-1.124335861E1,-2.049139261E0,1.153620812E1
4.848953712E0,1.977872699E-1,-3.514084339E0,-8.848888874E-1,3.629178542E0
4.868077254E0,3.856752396E0,7.825870514E0,1.768373251E0,8.902018439E0
4.887227462E0,2.923544407E0,4.172697067E1,8.225214958E0,4.263028682E1
4.906364233E0,-1.064464760E1,3.790518188E1,1.220585823E1,4.122007170E1
4.925487774E0,-6.886278629E0,1.680119896E1,7.644956589E0,1.970143348E1
4.944637983E0,-6.518400192E0,2.913878059E1,7.000007153E0,3.066852092E1
4.963774858E0,-3.563147545E0,2.410075378E1,5.258002281E0,2.492366228E1
4.982898399E0,-2.530352354E0,1.370334530E1,1.842418194E0,1.405627476E1
5.002048608E0,-1.870637417E0,7.759273529E0,2.014171124E0,8.231797821E0
5.021185483E0,4.328615665E-1,2.460047722E0,1.563724518E0,2.946937104E0
5.040309024E0,3.320297956E0,-3.332820415E0,-2.049864531E-1,4.708937235E0
5.059459129E0,4.574975014E0,-8.201142311E0,-1.758112431E0,9.554061487E0
5.078596004E0,3.398481369E0,-1.206090164E1,-2.160012722E0,1.271537176E1
5.097719545E0,4.899406433E-1,-1.531840134E1,-2.579885960E0,1.554185552E1
5.116869754E0,-2.749222994E0,-1.767891502E1,-2.717089415E0,1.809654217E1
5.136006629E0,-3.424753666E0,-1.535248375E1,-2.734197140E0,1.596569851E1
5.155130170E0,-1.828840971E0,-1.128734398E1,-7.483977079E-1,1.145900923E1
5.174280379E0,-3.741742373E-1,-8.181060791E0,8.177663088E-1,8.230340440E0
5.193417254E0,9.003427029E-1,-6.494312286E0,1.387441158E0,6.701619358E0
